id_machine, type_agv, distance, temps, etat_machine_1, etat_machine_2, etat_machine_3, etat_machine_4, nbs_pieces
1, Arriere, 16, 104, En marche, Libre, Libre, Libre, 10
1, Arriere, 22, 113, Libre, En marche, Libre, Libre, 1
1, Arriere, 19, 101, Libre, Libre, En marche, Libre, 8
1, Arriere, 22, 108, Libre, Libre, Libre, En marche, 3
2, Arriere, 16, 111, En marche, Libre, Libre, Libre, 4
2, Arriere, 22, 94, Libre, En marche, Libre, Libre, 6
2, Arriere, 19, 100, Libre, Libre, En marche, Libre, 9
2, Arriere, 22, 91, Libre, Libre, Libre, En marche, 10
3, Arriere, 16, 118, En marche, Libre, Libre, Libre, 10
3, Arriere, 22, 94, Libre, En marche, Libre, Libre, 9
3, Arriere, 19, 99, Libre, Libre, En marche, Libre, 2
3, Arriere, 22, 95, Libre, Libre, Libre, En marche, 4
4, Arriere, 16, 108, En marche, Libre, Libre, Libre, 1
4, Arriere, 22, 119, Libre, En marche, Libre, Libre, 2
4, Arriere, 19, 115, Libre, Libre, En marche, Libre, 6
4, Arriere, 22, 94, Libre, Libre, Libre, En marche, 7
5, Arriere, 16, 113, En marche, Libre, Libre, Libre, 10
5, Arriere, 22, 91, Libre, En marche, Libre, Libre, 1
5, Arriere, 19, 98, Libre, Libre, En marche, Libre, 6
5, Arriere, 22, 107, Libre, Libre, Libre, En marche, 2
6, Avant, 24, 101, En marche, Libre, Libre, Libre, 8
6, Avant, 15, 100, Libre, En marche, Libre, Libre, 1
6, Avant, 18, 103, Libre, Libre, En marche, Libre, 1
6, Avant, 20, 116, Libre, Libre, Libre, En marche, 6
7, Arriere, 16, 116, En marche, Libre, Libre, Libre, 2
7, Arriere, 22, 102, Libre, En marche, Libre, Libre, 10
7, Arriere, 19, 116, Libre, Libre, En marche, Libre, 9
7, Arriere, 22, 94, Libre, Libre, Libre, En marche, 2
8, Avant, 24, 111, En marche, Libre, Libre, Libre, 2
8, Avant, 15, 110, Libre, En marche, Libre, Libre, 6
8, Avant, 18, 120, Libre, Libre, En marche, Libre, 1
8, Avant, 20, 103, Libre, Libre, Libre, En marche, 9
9, Arriere, 16, 108, En marche, Libre, Libre, Libre, 3
9, Arriere, 22, 91, Libre, En marche, Libre, Libre, 5
9, Arriere, 19, 119, Libre, Libre, En marche, Libre, 2
9, Arriere, 22, 104, Libre, Libre, Libre, En marche, 1
10, Avant, 24, 119, En marche, Libre, Libre, Libre, 3
10, Avant, 15, 95, Libre, En marche, Libre, Libre, 10
10, Avant, 18, 113, Libre, Libre, En marche, Libre, 5
10, Avant, 20, 116, Libre, Libre, Libre, En marche, 5
11, Arriere, 16, 111, En marche, Libre, Libre, Libre, 8
11, Arriere, 22, 91, Libre, En marche, Libre, Libre, 7
11, Arriere, 19, 120, Libre, Libre, En marche, Libre, 10
11, Arriere, 22, 104, Libre, Libre, Libre, En marche, 2
12, Avant, 24, 101, En marche, Libre, Libre, Libre, 7
12, Avant, 15, 103, Libre, En marche, Libre, Libre, 4
12, Avant, 18, 96, Libre, Libre, En marche, Libre, 9
12, Avant, 20, 94, Libre, Libre, Libre, En marche, 1
13, Avant, 24, 105, En marche, Libre, Libre, Libre, 8
13, Avant, 15, 104, Libre, En marche, Libre, Libre, 7
13, Avant, 18, 111, Libre, Libre, En marche, Libre, 3
13, Avant, 20, 110, Libre, Libre, Libre, En marche, 5
14, Arriere, 16, 120, En marche, Libre, Libre, Libre, 9
14, Arriere, 22, 104, Libre, En marche, Libre, Libre, 7
14, Arriere, 19, 106, Libre, Libre, En marche, Libre, 6
